Lambda,Chl.a,Chl.b,Chl.c,Beta.Carothene,Peridinin,Fucoxanthin,Phycocyanobilin,Phycoerythrobilin,Phycourobilin
400,0.018,0.00418,0.01987,0.01742,0.00365,0.00348,0,0,0
401,0.018833333,0.0041,0.020033333,0.018105,0.003761667,0.003615,0,0,0
402,0.019666667,0.00402,0.020196667,0.01879,0.003873333,0.00375,0,0,0
403,0.0205,0.00394,0.02036,0.019475,0.003985,0.003885,0,0,0
404,0.021,0.003913333,0.02049,0.02016,0.00412,0.004043333,0,0,0
405,0.0215,0.003886667,0.02062,0.020845,0.004255,0.004201667,0,0,0
406,0.022,0.00386,0.02075,0.02153,0.00439,0.00436,0,0,0
407,0.022542678,0.003908333,0.020818333,0.02215,0.00454,0.004526667,0,0,0
408,0.023085357,0.003956667,0.020886667,0.02277,0.00469,0.004693333,0,0,0
409,0.023628035,0.004005,0.020955,0.02339,0.00484,0.00486,0,0,0
410,0.024063837,0.004096667,0.021016667,0.023993333,0.00507,0.005053333,0,0,0
411,0.024499638,0.004188333,0.021078333,0.024596667,0.0053,0.005246667,0,0,0
412,0.02493544,0.00428,0.02114,0.0252,0.00553,0.00544,0,0,0
413,0.025329836,0.004436667,0.021228333,0.025856667,0.005753333,0.005658333,0,0,0
414,0.025724233,0.004593333,0.021316667,0.026513333,0.005976667,0.005876667,0,0,0
415,0.026118629,0.00475,0.021405,0.02717,0.0062,0.006095,0,0,0
416,0.026664789,0.00501,0.021546667,0.0279,0.0064,0.006336667,0,0,0
417,0.027210948,0.00527,0.021688333,0.02863,0.0066,0.006578333,0,0,0
418,0.027757108,0.00553,0.02183,0.02936,0.0068,0.00682,0,0,0
419,0.028173626,0.005951667,0.022141667,0.030166667,0.00703,0.007081667,0,0,0
420,0.028590145,0.006373333,0.022453333,0.030973333,0.00726,0.007343333,0,0,0
421,0.029006663,0.006795,0.022765,0.03178,0.00749,0.007605,0,0,0
422,0.029348965,0.007166667,0.023156667,0.03266,0.007716667,0.007996667,0,0,6.77E-06
423,0.029691266,0.007538333,0.023548333,0.03354,0.007943333,0.008388333,0,0,1.35E-05
424,0.030033568,0.00791,0.02394,0.03442,0.00817,0.00878,0,0,2.03E-05
425,0.030132048,0.008373333,0.024458333,0.035353333,0.008418333,0.00918,0,0,0.0001013
426,0.030230528,0.008836667,0.024976667,0.036286667,0.008666667,0.00958,0,0,0.000182299
427,0.030329008,0.0093,0.025495,0.03722,0.008915,0.00998,0,0,0.000263299
428,0.030340426,0.00976,0.026176667,0.038383333,0.00917,0.01033,0,0,0.000344314
429,0.030351844,0.01022,0.026858333,0.039546667,0.009425,0.01068,0,0,0.000425329
430,0.030363262,0.01068,0.02754,0.04071,0.00968,0.01103,0,0,0.000506344
431,0.03052692,0.011136667,0.028398333,0.041233333,0.009965,0.011405,0,0,0.000587359
432,0.030690578,0.011593333,0.029256667,0.041756667,0.01025,0.01178,0,0,0.000668374
433,0.030854236,0.01205,0.030115,0.04228,0.010535,0.012155,0,0,0.000749389
434,0.031062614,0.012503333,0.031136667,0.042713333,0.01083,0.012543333,0,0,0.000830404
435,0.031270992,0.012956667,0.032158333,0.043146667,0.011125,0.012931667,0,0,0.000911419
436,0.03147937,0.01341,0.03318,0.04358,0.01142,0.01332,0,0,0.000992434
437,0.031652781,0.013871667,0.034581667,0.04391,0.01175,0.013725,0,0,0.001073449
438,0.031826191,0.014333333,0.035983333,0.04424,0.01208,0.01413,0,0,0.001154464
439,0.031999602,0.014795,0.037385,0.04457,0.01241,0.014535,0,0,0.001235479
440,0.031673068,0.015286667,0.03908,0.044933333,0.01275,0.014953333,0,0,0.001354634
441,0.031346534,0.015778333,0.040775,0.045296667,0.01309,0.015371667,0,0,0.00147379
442,0.03102,0.01627,0.04247,0.04566,0.01343,0.01579,0,0,0.001592945
443,0.029156667,0.016815,0.04456,0.04622,0.013811667,0.01626,0,0,0.00182652
444,0.027293333,0.01736,0.04665,0.04678,0.014193333,0.01673,0,0,0.002060096
445,0.02543,0.017905,0.04874,0.04734,0.014575,0.0172,0,0,0.002293671
446,0.022856667,0.01855,0.050963333,0.048093333,0.0151,0.017696667,0,0,0.002527247
447,0.020283333,0.019195,0.053186667,0.048846667,0.015625,0.018193333,0,0,0.002760822
448,0.01771,0.01984,0.05541,0.0496,0.01615,0.01869,0,0,0.002994398
449,0.015491667,0.020623333,0.057663333,0.050615,0.016485,0.019205,0,1.67E-05,0.003227973
450,0.013273333,0.021406667,0.059916667,0.05163,0.01682,0.01972,0,3.34E-05,0.003461549
