lambda, irradiance
400, 0.37
401, 0.405
402, 0.426
403, 0.442
404, 0.454
405, 0.464
406, 0.469
407, 0.475
408, 0.48
409, 0.485
410, 0.49
411, 0.499
412, 0.507
413, 0.511
414, 0.516
415, 0.52
416, 0.524
417, 0.528
418, 0.531
419, 0.534
420, 0.536
421, 0.537
422, 0.538
423, 0.537
424, 0.535
425, 0.532
426, 0.529
427, 0.527
428, 0.524
429, 0.521
430, 0.517
431, 0.517
432, 0.522
433, 0.53
434, 0.541
435, 0.55
436, 0.558
437, 0.567
438, 0.576
439, 0.585
440, 0.596
441, 0.607
442, 0.618
443, 0.628
444, 0.639
445, 0.649
446, 0.659
447, 0.669
448, 0.678
449, 0.687
450, 0.695
451, 0.702
452, 0.71
453, 0.715
454, 0.72
455, 0.725
456, 0.73
457, 0.734
458, 0.738
459, 0.743
460, 0.746
461, 0.748
462, 0.751
463, 0.752
464, 0.753
465, 0.755
466, 0.756
467, 0.757
468, 0.757
469, 0.758
470, 0.758
471, 0.76
472, 0.764
473, 0.768
474, 0.771
475, 0.775
476, 0.778
477, 0.782
478, 0.786
479, 0.788
480, 0.791
481, 0.79
482, 0.79
483, 0.787
484, 0.783
485, 0.781
486, 0.779
487, 0.778
488, 0.777
489, 0.778
490, 0.78
491, 0.782
492, 0.787
493, 0.792
494, 0.796
495, 0.8
496, 0.803
497, 0.805
498, 0.806
499, 0.806
500, 0.805
501, 0.805
502, 0.805
503, 0.805
504, 0.806
505, 0.809
506, 0.812
507, 0.815
508, 0.819
509, 0.821
510, 0.824
511, 0.826
512, 0.825
513, 0.823
514, 0.822
515, 0.819
516, 0.817
517, 0.815
518, 0.814
519, 0.814
520, 0.815
521, 0.819
522, 0.823
523, 0.828
524, 0.833
525, 0.838
526, 0.843
527, 0.849
528, 0.854
529, 0.858
530, 0.861
531, 0.865
532, 0.869
533, 0.874
534, 0.877
535, 0.877
536, 0.877
537, 0.878
538, 0.878
539, 0.878
540, 0.879
541, 0.879
542, 0.879
543, 0.88
544, 0.882
545, 0.885
546, 0.887
547, 0.89
548, 0.893
549, 0.896
550, 0.898
551, 0.901
552, 0.902
553, 0.903
554, 0.904
555, 0.905
556, 0.905
557, 0.904
558, 0.904
559, 0.903
560, 0.902
561, 0.902
562, 0.901
563, 0.9
564, 0.899
565, 0.898
566, 0.897
567, 0.896
568, 0.895
569, 0.893
570, 0.892
571, 0.891
572, 0.892
573, 0.894
574, 0.896
575, 0.897
576, 0.899
577, 0.901
578, 0.903
579, 0.907
580, 0.911
581, 0.914
582, 0.916
583, 0.918
584, 0.918
585, 0.916
586, 0.915
587, 0.911
588, 0.906
589, 0.901
590, 0.897
591, 0.891
592, 0.887
593, 0.885
594, 0.882
595, 0.883
596, 0.884
597, 0.887
598, 0.891
599, 0.895
600, 0.899
601, 0.906
602, 0.914
603, 0.92
604, 0.925
605, 0.93
606, 0.934
607, 0.939
608, 0.943
609, 0.945
610, 0.946
611, 0.947
612, 0.947
613, 0.947
614, 0.946
615, 0.946
616, 0.945
617, 0.945
618, 0.945
619, 0.945
620, 0.946
621, 0.946
622, 0.946
623, 0.946
624, 0.945
625, 0.941
626, 0.938
627, 0.935
628, 0.933
629, 0.931
630, 0.93
631, 0.929
632, 0.931
633, 0.933
634, 0.936
635, 0.938
636, 0.944
637, 0.947
638, 0.95
639, 0.952
640, 0.953
641, 0.953
642, 0.953
643, 0.951
644, 0.948
645, 0.943
646, 0.939
647, 0.936
648, 0.932
649, 0.928
650, 0.925
651, 0.922
652, 0.919
653, 0.916
654, 0.916
655, 0.918
656, 0.92
657, 0.924
658, 0.929
659, 0.935
660, 0.941
661, 0.95
662, 0.958
663, 0.965
664, 0.972
665, 0.978
666, 0.983
667, 0.987
668, 0.989
669, 0.992
670, 0.994
671, 0.995
672, 0.996
673, 0.998
674, 0.998
675, 0.999
676, 0.999
677, 0.999
678, 0.997
679, 0.994
680, 0.991
681, 0.985
682, 0.976
683, 0.965
684, 0.951
685, 0.936
686, 0.925
687, 0.907
688, 0.895
689, 0.883
690, 0.875
691, 0.868
692, 0.863
693, 0.861
694, 0.86
695, 0.862
696, 0.864
697, 0.866
698, 0.869
699, 0.871
700, 0.874
